Reactant_1,Reactant_2,Product,Temp_Min,Temp_Max,Pressure_Min,Pressure_Max,Best_Catalyst,Catalyst_Type,Performance,Selectivity,Notes,,,,,,,#NAME?
"1,2-Dibromoethane",Acetone,"1,2-Dimethylethane",50,90,1,6,Calcium carbonate,Inorganic Salt,62,70,Poor performance due to low solubility and weak catalytic activity.,,,,,,,
"1,2-Dibromoethane",Acetone,"1,2-Dimethylethane",55,95,1,6,Sodium chloride,Inorganic Salt,64,72,Poor performance due to neutral nature and weak catalytic activity.,,,,,,,
"1,2-Dibromoethane",Acetone,"1,2-Dimethylethane",60,100,1,6,Potassium bromide,Inorganic Salt,66,74,"Similar to NaCl, slightly better due to bromide ion.",,,,,,,
"1,2-Dibromoethane",Acetone,"1,2-Dimethylethane",65,105,1,6,Iron,Lewis Acid,79,86,"Good yield, Fe³⁺ acts as a strong Lewis acid.",,,,,,,
"1,2-Dibromoethane",Acetone,"1,2-Dimethylethane",50,90,1,6,Magnesium chloride,Inorganic Salt,73,81,"Moderate yield, Mg²⁺ acts as a Lewis acid.",,,,,,,
"1,2-Dibromoethane",Acetone,"1,2-Dimethylethane",60,100,1,6,Zinc sulfate,Inorganic Salt,71,79,"Moderate yield, Zn²⁺ acts as a Lewis acid.",,,,,,,
"1,2-Dibromoethane",Acetone,"1,2-Dimethylethane",70,110,1,6,Sodium bromide,Inorganic Salt,69,77,"Similar to KBr, slightly lower due to smaller cation size.",,,,,,,
"1,2-Dibromoethane",Acetone,"1,2-Dimethylethane",55,95,1,6,Barium carbonate,Inorganic Salt,61,69,Poor performance due to low solubility and weak catalytic activity.,,,,,,,
"1,2-Dibromoethane",Acetone,"1,2-Dimethylethane",50,90,1,6,Potassium nitrate,Inorganic Salt,63,71,Poor performance due to weak catalytic activity.,,,,,,,
"1,2-Dibromoethane",Acetone,"1,2-Dimethylethane",60,100,1,6,Aluminum sulfate,Inorganic Salt,67,75,"Moderate yield, Al³⁺ acts as a Lewis acid.",,,,,,,
"1,2-Dibromoethane",Acetone,"1,2-Dimethylethane",65,105,1,6,Lithium bromide,Inorganic Salt,76,84,"Good yield, Li⁺ and Br⁻ ions stabilize intermediates.",,,,,,,
"1,2-Dibromoethane",Acetone,"1,2-Dimethylethane",70,110,1,6,Sodium phosphate,Inorganic Salt,74,82,"Moderate yield, acts as a mild base and stabilizes intermediates.",,,,,,,
"1,2-Dibromoethane",Aluminum bromide,Ethylene,100,130,1,6,Acetone,Solvent,60,70,"Poor performance, acts mainly as a solvent with minimal catalytic effect.",,,,,,,
"1,2-Dibromoethane",Aluminum bromide,Ethylene,104,134,1,6,Dimethyl sulfoxide,Solvent,85,92,Excellent yield and selectivity due to strong solvation and stabilization.,,,,,,,
"1,2-Dibromoethane",Aluminum bromide,Ethylene,106,136,1,6,Ethanol,Solvent,65,75,"Moderate performance, acts as a solvent with mild catalytic effect.",,,,,,,
"1,2-Dibromoethane",Aluminum bromide,Ethylene,108,138,1,6,Methanol,Solvent,63,73,"Similar to ethanol, slightly lower due to smaller size.",,,,,,,
"1,2-Dibromoethane",Aluminum bromide,Ethylene,110,140,1,6,Tetrahydrofuran,Solvent,70,80,"Moderate performance, good solvation but limited catalytic effect.",,,,,,,
"1,2-Dibromoethane",Aluminum bromide,Ethylene,112,142,1,6,Benzyl alcohol,Solvent,68,78,"Moderate performance, mild catalytic effect due to aromatic ring.",,,,,,,
"1,2-Dibromoethane",Aluminum bromide,Ethylene,114,144,1,6,Pyridine,Organic Base,75,85,Good yield and selectivity due to mild basicity and coordination.,,,,,,,
"1,2-Dibromoethane",Aluminum bromide,Ethylene,116,146,1,6,Dimethylformamide,Solvent,80,88,High yield and selectivity due to strong solvation and stabilization.,,,,,,,
"1,2-Dibromoethane",Aluminum bromide,Ethylene,118,148,1,6,Acetonitrile,Solvent,62,72,"Poor performance, acts mainly as a solvent with minimal catalytic effect.",,,,,,,
"1,2-Dibromoethane",Aluminum bromide,Ethylene,120,150,1,6,Triphenylphosphine,Ligand,74,82,"Moderate yield, acts as a ligand to stabilize intermediates.",,,,,,,
"1,2-Dibromoethane",Aluminum bromide,Ethylene,122,152,1,6,Copper,Metal Salt,78,86,"Good yield, Cu⁺ acts as a Lewis acid.",,,,,,,
"1,2-Dibromoethane",Aluminum bromide,Ethylene,124,154,1,6,Zinc chloride,Lewis Acid,76,84,"Moderate yield, Zn²⁺ acts as a Lewis acid.",,,,,,,
"1,2-Dibromoethane",Aluminum bromide,Ethylene,126,156,1,6,Aluminum chloride,Lewis Acid,82,90,High yield and selectivity due to strong Lewis acidity.,,,,,,,
"1,2-Dibromoethane",Aluminum bromide,Ethylene,128,158,1,6,Iron,Lewis Acid,80,88,"Good yield, Fe³⁺ acts as a strong Lewis acid.",,,,,,,
"1,2-Dibromoethane",Aluminum bromide,Ethylene,130,160,1,6,Silver nitrate,Metal Salt,88,94,Excellent yield and selectivity due to Ag⁺'s strong interaction.,,,,,,,
"1,2-Dibromoethane",Aluminum bromide,Ethylene,132,162,1,6,Cesium carbonate,Inorganic Base,84,91,High yield and selectivity due to strong basicity and solubility.,,,,,,,
"1,2-Dibromoethane",Aluminum bromide,Ethylene,134,164,1,6,Lithium chloride,Inorganic Salt,70,78,"Moderate performance, acts as a mild Lewis acid.",,,,,,,
"1,2-Dibromoethane",Aluminum bromide,Ethylene,136,166,1,6,Toluene,Solvent,60,70,"Poor performance, acts mainly as a solvent with minimal catalytic effect.",,,,,,,
"1,2-Dibromoethane",Aluminum bromide,Ethylene,138,168,1,6,Dichloromethane,Solvent,62,72,"Poor performance, acts mainly as a solvent with minimal catalytic effect.",,,,,,,
"1,2-Dibromoethane",Aluminum bromide,Ethylene,140,170,1,6,Potassium iodide,Inorganic Salt,68,76,"Moderate performance, iodide ion stabilizes intermediates.",,,,,,,
"1,2-Dibromoethane",Aluminum bromide,Ethylene,142,172,1,6,Ammonium acetate,Organic Salt,72,80,"Moderate yield, acetate ion stabilizes intermediates.",,,,,,,
"1,2-Dibromoethane",Aluminum bromide,Ethylene,144,174,1,6,Diethyl ether,Solvent,64,74,"Poor performance, acts mainly as a solvent with minimal catalytic effect.",,,,,,,
"1,2-Dibromoethane",Aluminum bromide,Ethylene,146,176,1,6,Chloroform,Solvent,61,71,"Poor performance, acts mainly as a solvent with minimal catalytic effect.",,,,,,,
"1,2-Dibromoethane",Aluminum bromide,Ethylene,148,178,1,6,Benzene,Solvent,59,69,"Poor performance, acts mainly as a solvent with minimal catalytic effect.",,,,,,,
"1,2-Dibromoethane",Aluminum bromide,Ethylene,150,180,1,6,Sodium acetate,Inorganic Salt,74,82,"Moderate yield, acetate ion stabilizes intermediates.",,,,,,,
"1,2-Dibromoethane",Aluminum bromide,Ethylene,152,182,1,6,Lithium bromide,Inorganic Salt,76,84,"Good yield, Li⁺ and Br⁻ ions stabilize intermediates.",,,,,,,
"1,2-Dibromoethane",Aluminum bromide,Ethylene,154,184,1,6,Potassium hydroxide,Strong Base,78,86,"Good yield, but lower selectivity due to strong basicity.",,,,,,,
"1,2-Dibromoethane",Aluminum bromide,Ethylene,156,186,1,6,Sodium hydroxide,Strong Base,77,85,"Similar to KOH, slightly lower due to smaller cation size.",,,,,,,
"1,2-Dibromoethane",Aluminum bromide,Ethylene,158,188,1,6,Potassium carbonate,Inorganic Base,82,90,High yield and selectivity due to strong basicity and solubility.,,,,,,,
"1,2-Dibromoethane",Aluminum bromide,Ethylene,160,190,1,6,Hexane,Solvent,58,68,"Poor performance, acts mainly as a solvent with minimal catalytic effect.",,,,,,,
"1,2-Dibromoethane",Aluminum bromide,Ethylene,162,192,1,6,Butanol,Solvent,66,76,"Moderate performance, acts as a solvent with mild catalytic effect.",,,,,,,
"1,2-Dibromoethane",Aluminum bromide,Ethylene,164,194,1,6,Triethylamine,Organic Base,75,85,Good yield and selectivity due to mild basicity and coordination.,,,,,,,
"1,2-Dibromoethane",Aluminum bromide,Ethylene,166,196,1,6,N-Methyl-2-pyrrolidone,Solvent,79,87,High yield and selectivity due to strong solvation and stabilization.,,,,,,,
"1,2-Dibromoethane",Aluminum bromide,Ethylene,168,198,1,6,Cyclohexane,Solvent,57,67,"Poor performance, acts mainly as a solvent with minimal catalytic effect.",,,,,,,
"1,2-Dibromoethane",Aluminum bromide,Ethylene,170,200,1,6,Dioxane,Solvent,69,79,"Moderate performance, good solvation but limited catalytic effect.",,,,,,,
"1,2-Dibromoethane",Aluminum chloride,"1,2-Diphenylethane",80,120,1,6,Toluene,Solvent,60,70,"Poor performance, acts mainly as a solvent with minimal catalytic effect.",,,,,,,
"1,2-Dibromoethane",Aluminum chloride,"1,2-Diphenylethane",90,130,1,6,Phenylacetylene,Organic Compound,65,75,"Moderate performance, may act as a mild ligand or stabilizer.",,,,,,,
"1,2-Dibromoethane",Aluminum chloride,"1,2-Diphenylethane",100,140,1,6,Iron chloride,Lewis Acid,82,90,High yield and selectivity due to strong Lewis acidity.,,,,,,,
"1,2-Dibromoethane",Aluminum chloride,"1,2-Diphenylethane",120,150,1,6,Zinc chloride,Lewis Acid,78,86,"Good yield, Zn²⁺ acts as a Lewis acid.",,,,,,,
"1,2-Dibromoethane",Aluminum chloride,"1,2-Diphenylethane",110,150,1,6,Titanium tetrachloride,Lewis Acid,80,88,High yield and selectivity due to strong Lewis acidity.,,,,,,,
"1,2-Dibromoethane",Aluminum chloride,"1,2-Diphenylethane",90,130,1,6,Copper,Metal Salt,75,83,"Moderate yield, Cu⁺ acts as a Lewis acid.",,,,,,,
"1,2-Dibromoethane",Aluminum chloride,"1,2-Diphenylethane",100,140,1,6,Silver nitrate,Metal Salt,88,94,Excellent yield and selectivity due to Ag⁺'s strong interaction.,,,,,,,
"1,2-Dibromoethane",Aluminum chloride,"1,2-Diphenylethane",80,120,1,6,Lead,Metal Oxide,70,78,"Moderate performance, acts as an oxidizing agent.",,,,,,,
"1,2-Dibromoethane",Aluminum chloride,"1,2-Diphenylethane",110,145,1,6,Calcium carbonate,Inorganic Salt,62,70,Poor performance due to low solubility and weak catalytic activity.,,,,,,,
"1,2-Dibromoethane",Aluminum chloride,"1,2-Diphenylethane",95,125,1,6,Potassium permanganate,Oxidizing Agent,68,76,"Moderate performance, acts as an oxidizing agent.",,,,,,,
"1,2-Dibromoethane",Aluminum chloride,"1,2-Diphenylethane",85,115,1,6,Aluminum oxide,Metal Oxide,74,82,"Moderate yield, acts as a mild Lewis acid.",,,,,,,
"1,2-Dibromoethane",Aluminum chloride,"1,2-Diphenylethane",120,155,1,6,Sodium carbonate,Inorganic Base,72,80,"Moderate yield, acts as a mild base and stabilizes intermediates.",,,,,,,
"1,2-Dibromoethane",Aluminum chloride,"1,2-Diphenylethane",100,140,1,6,Palladium chloride,Metal Salt,90,95,"Excellent yield and selectivity, Pd²⁺ is highly effective.",,,,,,,
"1,2-Dibromoethane",Aluminum chloride,"1,2-Diphenylethane",110,140,1,6,Vanadium,Metal Oxide,76,84,"Moderate yield, acts as a mild Lewis acid.",,,,,,,
"1,2-Dibromoethane",Aluminum chloride,"1,2-Diphenylethane",130,160,1,6,Copper,Metal Salt,73,81,"Moderate yield, Cu²⁺ acts as a Lewis acid.",,,,,,,
"1,2-Dibromoethane",Aluminum chloride,"1,2-Diphenylethane",90,120,1,6,Ferric chloride,Lewis Acid,81,89,High yield and selectivity due to strong Lewis acidity.,,,,,,,
"1,2-Dibromoethane",Aluminum chloride,"1,2-Diphenylethane",80,110,1,6,Manganese dioxide,Metal Oxide,69,77,"Moderate performance, acts as an oxidizing agent.",,,,,,,
"1,2-Dibromoethane",Aluminum chloride,"1,2-Diphenylethane",100,130,1,6,Zinc oxide,Metal Oxide,75,83,"Moderate yield, acts as a mild Lewis acid.",,,,,,,
"1,2-Dibromoethane",Aluminum chloride,"1,2-Diphenylethane",110,145,1,6,Cobalt chloride,Metal Salt,74,82,"Moderate yield, Co²⁺ acts as a Lewis acid.",,,,,,,
"1,2-Dibromoethane",Aluminum chloride,"1,2-Diphenylethane",95,125,1,6,Tetraethyl orthosilicate,Organic Compound,66,74,"Moderate performance, acts as a stabilizer.",,,,,,,
"1,2-Dibromoethane",Aluminum chloride,"1,2-Diphenylethane",115,150,1,6,Calcium hydroxide,Inorganic Base,68,76,"Moderate performance, acts as a mild base.",,,,,,,
"1,2-Dibromoethane",Aluminum chloride,"1,2-Diphenylethane",90,120,1,6,Sodium bicarbonate,Inorganic Base,70,78,"Moderate yield, acts as a mild base and stabilizes intermediates.",,,,,,,
"1,2-Dibromoethane",Aluminum chloride,"1,2-Diphenylethane",100,130,1,6,Magnesium sulfate,Inorganic Salt,64,72,Poor performance due to weak catalytic activity.,,,,,,,
"1,2-Dibromoethane",Aluminum chloride,"1,2-Diphenylethane",80,110,1,6,Molybdenum,Metal Oxide,72,80,"Moderate yield, acts as a mild Lewis acid.",,,,,,,
"1,2-Dibromoethane",Aluminum chloride,"1,2-Diphenylethane",120,150,1,6,Potassium iodide,Inorganic Salt,67,75,"Moderate performance, iodide ion stabilizes intermediates.",,,,,,,
"1,2-Dibromoethane",Aluminum chloride,"1,2-Diphenylethane",110,145,1,6,Chromium,Oxidizing Agent,71,79,"Moderate performance, acts as an oxidizing agent.",,,,,,,
"1,2-Dibromoethane",Aluminum chloride,"1,2-Diphenylethane",90,120,1,6,Copper,Metal Oxide,73,81,"Moderate yield, Cu⁺ acts as a Lewis acid.",,,,,,,
"1,2-Dibromoethane",Aluminum chloride,"1,2-Diphenylethane",100,135,1,6,Sodium sulfate,Inorganic Salt,61,69,Poor performance due to weak catalytic activity.,,,,,,,
"1,2-Dibromoethane",Aluminum chloride,"1,2-Diphenylethane",110,140,1,6,Barium sulfate,Inorganic Salt,60,68,Poor performance due to very low solubility.,,,,,,,
"1,2-Dibromoethane",Aluminum chloride,"1,2-Diphenylethane",90,130,1,6,Bismuth oxide,Metal Oxide,70,78,"Moderate performance, acts as a mild Lewis acid.",,,,,,,
"1,2-Dibromoethane",Aluminum chloride,"1,2-Diphenylethane",100,130,1,6,Sodium nitrate,Inorganic Salt,63,71,Poor performance due to weak catalytic activity.,,,,,,,
"1,2-Dibromoethane",Aluminum chloride,"1,2-Diphenylethane",80,115,1,6,Manganese sulfate,Inorganic Salt,65,73,"Moderate performance, Mn²⁺ acts as a mild Lewis acid.",,,,,,,
"1,2-Dibromoethane",Aluminum chloride,"1,2-Diphenylethane",110,140,1,6,Palladium on carbon,Metal Catalyst,92,96,"Outstanding yield and selectivity, Pd is highly effective.",,,,,,,
"1,2-Dibromoethane",Aluminum chloride,"1,2-Diphenylethane",90,125,1,6,Titanium dioxide,Metal Oxide,71,79,"Moderate performance, acts as a mild Lewis acid.",,,,,,,
"1,2-Dibromoethane",Aluminum chloride,"1,2-Diphenylethane",100,135,1,6,Sodium hydroxide,Strong Base,77,85,"Good yield, but lower selectivity due to strong basicity.",,,,,,,
"1,2-Dibromoethane",Aluminum chloride,"1,2-Diphenylethane",120,150,1,6,Iron,Metal Oxide,74,82,"Moderate yield, acts as a mild Lewis acid.",,,,,,,
"1,2-Dibromoethane",Aluminum chloride,"1,2-Diphenylethane",90,120,1,6,Magnesium chloride,Inorganic Salt,72,80,"Moderate yield, Mg²⁺ acts as a Lewis acid.",,,,,,,
"1,2-Dibromoethane",Calcium hydroxide,Ethyl alcohol,50,90,1,6,Water,Solvent,60,70,"Poor performance, acts mainly as a solvent with minimal catalytic effect.",,,,,,,
"1,2-Dibromoethane",Calcium hydroxide,Ethyl alcohol,55,85,1,6,Sodium chloride,Inorganic Salt,65,75,"Moderate performance, acts as a mild stabilizer.",,,,,,,
"1,2-Dibromoethane",Calcium hydroxide,Ethyl alcohol,60,95,1,6,Magnesium chloride,Inorganic Salt,70,80,"Moderate yield, Mg²⁺ acts as a mild Lewis acid.",,,,,,,
"1,2-Dibromoethane",Calcium hydroxide,Ethyl alcohol,50,80,1,6,Potassium chloride,Inorganic Salt,68,78,"Similar to NaCl, slightly lower due to larger cation size.",,,,,,,
"1,2-Dibromoethane",Calcium hydroxide,Ethyl alcohol,55,90,1,6,Sodium phosphate,Inorganic Salt,72,82,"Moderate yield, acts as a mild base and stabilizes intermediates.",,,,,,,
"1,2-Dibromoethane",Calcium hydroxide,Ethyl alcohol,60,100,1,6,Calcium carbonate,Inorganic Salt,62,72,Poor performance due to low solubility and weak catalytic activity.,,,,,,,
"1,2-Dibromoethane",Calcium hydroxide,Ethyl alcohol,65,105,1,6,Zinc oxide,Metal Oxide,75,85,"Moderate yield, acts as a mild Lewis acid.",,,,,,,
"1,2-Dibromoethane",Calcium hydroxide,Ethyl alcohol,70,110,1,6,Iron,Metal Oxide,74,84,"Moderate yield, acts as a mild Lewis acid.",,,,,,,
"1,2-Dibromoethane",Calcium hydroxide,Ethyl alcohol,55,85,1,6,Manganese oxide,Metal Oxide,70,80,"Moderate performance, acts as a mild Lewis acid.",,,,,,,
"1,2-Dibromoethane",Calcium hydroxide,Ethyl alcohol,60,95,1,6,Copper oxide,Metal Oxide,73,83,"Moderate yield, acts as a mild Lewis acid.",,,,,,,
"1,2-Dibromoethane",Calcium hydroxide,Ethyl alcohol,50,80,1,6,Aluminum oxide,Metal Oxide,76,86,"Moderate yield, acts as a mild Lewis acid.",,,,,,,
